0, 0, 527846, 690528, 426506, 66175, 159143, 150757, 698704, 416210, 111572, 907695, 975073, 638695, 274982, 886707, 271515, 139008, 361044, 955663, 880575, 643810, 
1, 0, 286663, 64623, 720619, 909271, 1032121, 245753, 890335, 867949, 914411, 52894, 112349, 220079, 392430, 523207, 649213, 900697, 944805, 116397, 351231, 121854, 
2, 0, 552864, 214438, 952214, 332675, 949694, 739034, 485641, 499110, 464108, 807359, 1024311, 949548, 817902, 627319, 474154, 896378, 250684, 846715, 813365, 742760, 
3, 0, 98015, 130150, 780030, 990143, 925177, 212991, 809945, 866422, 897963, 355038, 898911, 251817, 519661, 452582, 647807, 892376, 744171, 643628, 974639, 63434, 
4, 0, 93857, 218311, 982302, 480051, 466430, 731090, 478669, 507066, 197803, 803442, 864055, 415656, 847588, 161342, 506431, 830843, 253785, 850552, 947575, 148814, 
5, 0, 550817, 246948, 798610, 102979, 923966, 225226, 477577, 495268, 874211, 811178, 369463, 687917, 801516, 111167, 868104, 898426, 1044797, 326265, 424229, 685664, 
6, 0, 488339, 682834, 365881, 425402, 565313, 297751, 697571, 242131, 831342, 831351, 905667, 88254, 749654, 462275, 841211, 119396, 645581, 995090, 885959, 239371, 
7, 0, 639224, 984537, 264778, 626625, 991100, 678304, 201205, 772874, 969264, 407504, 854328, 816120, 533713, 67672, 663671, 151583, 1042050, 760565, 663601, 962069, 
8, 0, 951794, 959250, 856888, 61560, 581671, 380087, 978448, 181202, 308476, 767399, 164066, 638066, 226112, 823216, 283791, 137190, 295256, 421191, 372161, 1028458, 
9, 0, 323610, 267870, 652188, 917380, 834099, 649691, 880360, 546372, 442908, 197779, 251734, 501440, 429499, 817620, 198781, 471542, 405690, 25067, 432713, 380584, 
10, 0, 931976, 134040, 861115, 571081, 811904, 354638, 502402, 970567, 382245, 588167, 176834, 615475, 410475, 897520, 272779, 211942, 176426, 348123, 120976, 784689, 
11, 0, 97768, 184610, 979934, 348963, 555422, 206322, 1035665, 466258, 341101, 902047, 521947, 105767, 324325, 849315, 271531, 371576, 381278, 377967, 351847, 86440, 
12, 0, 833746, 962301, 262728, 536272, 235145, 182441, 688988, 679948, 541488, 179336, 530828, 535548, 595784, 198741, 574933, 400015, 835236, 693381, 721074, 798215, 
13, 0, 299675, 345885, 69409, 631948, 859905, 215821, 107438, 543533, 318995, 173952, 22788, 158322, 678683, 100428, 76800, 708775, 141091, 104400, 231608, 311093, 
14, 0, 696796, 787321, 229915, 598637, 227354, 936102, 35670, 546139, 172148, 767369, 673906, 898548, 141249, 791985, 393239, 143775, 267358, 955511, 757289, 893109, 
15, 0, 642735, 381839, 647141, 980236, 1021941, 628445, 349999, 917357, 1048255, 1004499, 386364, 957029, 983033, 251541, 1031980, 716019, 1010471, 358587, 315387, 974845, 
16, 0, 796430, 60986, 769852, 1014286, 63587, 192215, 814624, 586850, 92124, 71887, 180931, 654422, 487735, 933811, 54987, 505828, 14750, 60251, 302926, 738249, 
17, 0, 1008561, 666884, 429355, 400827, 1041532, 821772, 196875, 202197, 405346, 814960, 862517, 938797, 352462, 70911, 479333, 618618, 514021, 991792, 681638, 616322, 
18, 0, 252571, 338689, 69475, 832925, 989121, 348941, 5030, 805677, 314166, 159701, 96648, 156273, 723291, 66624, 96416, 674531, 402979, 78547, 52281, 306710, 
19, 0, 496415, 327199, 257189, 966092, 829185, 897629, 112175, 540237, 1048415, 232977, 57156, 444999, 497467, 260557, 786016, 581829, 929703, 67530, 103128, 384669, 
20, 0, 1026096, 398225, 291180, 58016, 66476, 274432, 138277, 215962, 51364, 664865, 675496, 541979, 573522, 618056, 270727, 151343, 62528, 787155, 669520, 829925, 
